district,% behind ela 2015-16,% behind ela 2016-17,% behind math 2015-16,% behind math 2016-17,% goal ela 2015-16,% goal ela 2016-17,% goal math 2015-16,% goal math 2016-17,avg score ela 2015-16,avg score ela 2016-17,avg score math 2015-16,avg score math 2016-17,num tested ela 2015-16,num tested ela 2016-17,num tested math 2015-16,num tested math 2016-17,math score diff,ela score diff,math % goal diff,ela % goal diff
Newtown School District,3.5,4.9,6.2,5.1,88.6,87.8,65.5,73.2,577,580,562,578,403,410,403,410,16.0,3.0,7.7,-0.8
North Branford School District,16.2,8.3,23.5,11.7,64.3,81.4,34.6,39.3,510,537,493,514,154,145,154,145,21.0,27.0,4.7,17.1
North Haven School District,6.9,9.6,16.7,10.8,78.4,76.3,43.7,47.5,542,541,507,522,245,240,245,240,15.0,-1.0,3.8,-2.1
North Stonington School District,12.7,14.0,14.5,*,76.4,72.1,56.4,*,548,558,538,543,55,43,55,43,5.0,10.0,,-4.3
Norwalk School District,20.6,22.7,25.0,24.0,58.8,56.6,29.1,31.8,499,502,482,485,752,818,752,818,3.0,3.0,2.7,-2.2
Norwich Free Academy District,21.9,22.0,27.1,25.9,62.3,58.5,33.6,35.5,511,507,485,491,570,534,570,534,6.0,-4.0,1.9,-3.8
Norwich School District,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,,,,
Old Saybrook School District,9.4,8.3,11.5,12.8,80.2,80.7,50.0,56.9,550,559,533,545,96,109,96,109,12.0,9.0,6.9,0.5
Oxford School District,5.4,5.2,10.2,8.1,81.4,86.7,40.7,58.5,552,568,517,537,167,135,167,135,20.0,16.0,17.8,5.3
Path Academy District,*,70.0,*,*,*,*,*,*,*,383,*,*,6,20,6,20,,,,
Plainfield School District,15.1,21.9,*,27.5,62.3,48.3,*,27.5,508,489,478,469,149,151,149,151,-9.0,-19.0,,-14.0
Plainville School District,14.4,15.5,23.2,18.2,61.9,71.6,36.5,41.6,508,525,495,499,181,155,181,155,4.0,17.0,5.1,9.7
Plymouth School District,18.9,21.5,*,*,57.7,61.2,*,*,495,503,477,493,111,121,111,121,16.0,8.0,,3.5
Portland School District,*,11.6,10.9,14.1,84.8,76.7,50.0,51.8,563,542,544,532,92,86,92,86,-12.0,-21.0,1.8,-8.1
Putnam School District,27.3,*,41.8,28.1,*,*,12.7,18.8,479,478,447,447,56,64,56,64,0.0,-1.0,6.1,
Regional School District 01,12.1,23.5,*,*,74.8,60.0,*,*,537,503,503,482,107,85,107,85,-21.0,-34.0,,-14.8
Regional School District 04,6.9,7.8,16.0,9.7,79.2,85.7,47.9,50.6,568,569,525,525,144,154,144,154,0.0,1.0,2.7,6.5
Regional School District 05,7.0,2.3,9.0,4.5,83.4,86.2,64.0,67.3,577,588,563,578,344,355,344,355,15.0,11.0,3.3,2.8
Regional School District 06,8.0,17.3,*,*,75.2,67.3,*,*,536,516,508,495,113,104,113,104,-13.0,-20.0,,-7.9
Regional School District 07,8.6,6.4,10.2,9.8,82.9,81.5,57.2,63.6,557,568,539,551,187,173,187,173,12.0,11.0,6.4,-1.4
Regional School District 08,7.0,2.6,8.3,3.7,86.0,89.6,63.6,74.3,565,587,562,586,243,268,243,268,24.0,22.0,10.7,3.6
Regional School District 09,*,*,4.9,4.0,90.9,90.6,72.6,69.6,587,592,573,578,263,224,263,224,5.0,5.0,-3.0,-0.3
Regional School District 10,6.5,6.1,4.8,8.2,88.7,85.7,60.8,62.8,565,581,550,558,187,196,187,196,8.0,16.0,2.0,-3.0
Regional School District 11,*,*,*,*,*,*,*,*,518,543,493,530,42,30,42,30,37.0,25.0,,
Regional School District 12,*,*,*,*,79.6,82.8,*,*,553,574,542,533,49,58,49,58,-9.0,21.0,,3.2
Regional School District 13,9.3,*,10.7,7.9,85.0,90.5,51.4,61.1,558,574,528,552,140,126,140,126,24.0,16.0,9.7,5.5
Regional School District 14,9.9,13.0,8.2,13.0,76.6,72.4,49.7,51.0,538,537,531,529,171,192,171,192,-2.0,-1.0,1.3,-4.2
Regional School District 15,5.2,4.6,7.8,7.0,82.7,86.3,61.2,67.6,564,576,550,566,307,285,307,285,16.0,12.0,6.4,3.6
Regional School District 16,6.1,10.7,20.1,16.7,76.8,77.4,39.6,41.7,541,540,501,505,164,168,164,168,4.0,-1.0,2.1,0.6
Regional School District 17,6.2,8.5,9.6,7.3,86.3,80.5,54.1,54.3,563,560,531,541,146,164,146,164,10.0,-3.0,0.2,-5.8
