"CT School Day SAT, 2016-17"
"All Districts, All Subjects, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Southington School District","=""1310011""","ELA",540,527,97.6,527,53,10.1,57,10.8,299,56.7,118,22.4,417,79.1,552
"Southington School District","=""1310011""","Math",540,527,97.6,526,51,9.7,159,30.2,234,44.5,82,15.6,316,60.1,544
"Stafford School District","=""1340011""","ELA",87,84,96.6,84,8,9.5,16,19.0,44,52.4,16,19.0,60,71.4,542
"Stafford School District","=""1340011""","Math",87,84,96.6,83,"*","*",26,31.3,42,50.6,"*","*","*","*",523
"Stamford Academy District","=""2820013""","ELA",35,25,71.4,25,"*","*","*","*",0,0.0,0,0.0,0,0.0,366
"Stamford Academy District","=""2820013""","Math",35,25,71.4,23,"*","*","*","*",0,0.0,0,0.0,0,0.0,360
"Stamford School District","=""1350011""","ELA",1116,1032,92.5,1032,246,23.8,212,20.5,412,39.9,162,15.7,574,55.6,503
"Stamford School District","=""1350011""","Math",1116,1032,92.5,1027,280,27.3,407,39.6,216,21.0,124,12.1,340,33.1,488
"Stonington School District","=""1370011""","ELA",180,172,95.6,172,9,5.2,22,12.8,91,52.9,50,29.1,141,82.0,565
"Stonington School District","=""1370011""","Math",180,172,95.6,172,18,10.5,57,33.1,68,39.5,29,16.9,97,56.4,544
"Stratford School District","=""1380011""","ELA",525,516,98.3,516,101,19.6,133,25.8,240,46.5,42,8.1,282,54.7,494
"Stratford School District","=""1380011""","Math",525,516,98.3,514,134,26.1,232,45.1,120,23.3,28,5.4,148,28.8,477
"Suffield School District","=""1390011""","ELA",196,194,99.0,194,13,6.7,27,13.9,99,51.0,55,28.4,154,79.4,557
"Suffield School District","=""1390011""","Math",196,194,99.0,194,14,7.2,71,36.6,69,35.6,40,20.6,109,56.2,549
"The Bridge Academy District","=""2690013""","ELA",38,38,100.0,38,13,34.2,14,36.8,11,28.9,0,0.0,11,28.9,443
"The Bridge Academy District","=""2690013""","Math",38,38,100.0,38,"*","*",22,57.9,"*","*",0,0.0,"*","*",446
"The Gilbert School District","=""9020022""","ELA",86,83,96.5,83,19,22.9,22,26.5,36,43.4,6,7.2,42,50.6,489
"The Gilbert School District","=""9020022""","Math",86,83,96.5,83,16,19.3,31,37.3,25,30.1,11,13.3,36,43.4,511
"Thomaston School District","=""1400011""","ELA",59,59,100.0,59,10,16.9,7,11.9,31,52.5,11,18.6,42,71.2,537
"Thomaston School District","=""1400011""","Math",59,59,100.0,59,"*","*",26,44.1,24,40.7,"*","*","*","*",538
"Thompson School District","=""1410011""","ELA",68,63,92.6,63,16,25.4,"*","*",30,47.6,"*","*","*","*",487
"Thompson School District","=""1410011""","Math",68,63,92.6,63,21,33.3,25,39.7,"*","*","*","*",17,27.0,465
"Tolland School District","=""1420011""","ELA",208,207,99.5,207,13,6.3,16,7.7,118,57.0,60,29.0,178,86.0,568
"Tolland School District","=""1420011""","Math",208,207,99.5,207,18,8.7,50,24.2,94,45.4,45,21.7,139,67.1,564
"Torrington School District","=""1430011""","ELA",246,224,91.1,224,51,22.8,50,22.3,107,47.8,16,7.1,123,54.9,489
"Torrington School District","=""1430011""","Math",246,224,91.1,223,63,28.3,107,48.0,45,20.2,8,3.6,53,23.8,467
"Trumbull School District","=""1440011""","ELA",561,557,99.3,557,28,5.0,51,9.2,301,54.0,177,31.8,478,85.8,578
"Trumbull School District","=""1440011""","Math",561,557,99.3,557,38,6.8,161,28.9,215,38.6,143,25.7,358,64.3,569
"Unified School District #1","=""3360015""","ELA",68,0,0.0,0,"*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #1","=""3360015""","Math",68,0,0.0,0,"*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""","ELA",29,23,79.3,23,11,47.8,"*","*","*","*",0,0.0,"*","*",431
"Unified School District #2","=""3470015""","Math",29,23,79.3,22,15,68.2,"*","*","*","*",0,0.0,"*","*",410
"Vernon School District","=""1460011""","ELA",204,196,96.1,196,47,24.0,45,23.0,79,40.3,25,12.8,104,53.1,495
"Vernon School District","=""1460011""","Math",204,196,96.1,195,53,27.2,78,40.0,56,28.7,8,4.1,64,32.8,477
"Voluntown School District","=""1470011""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Voluntown School District","=""1470011""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","=""1480011""","ELA",454,447,98.5,447,51,11.4,73,16.3,259,57.9,64,14.3,323,72.3,527
"Wallingford School District","=""1480011""","Math",454,447,98.5,447,67,15.0,200,44.7,152,34.0,28,6.3,180,40.3,505
"Waterbury School District","=""1510011""","ELA",1196,1126,94.1,1126,498,44.2,265,23.5,331,29.4,32,2.8,363,32.2,445
"Waterbury School District","=""1510011""","Math",1196,1126,94.1,1117,562,50.3,438,39.2,106,9.5,11,1.0,117,10.5,421
"Waterford School District","=""1520011""","ELA",202,200,99.0,200,15,7.5,35,17.5,112,56.0,38,19.0,150,75.0,543
"Waterford School District","=""1520011""","Math",202,200,99.0,200,28,14.0,87,43.5,68,34.0,17,8.5,85,42.5,510
"Watertown School District","=""1530011""","ELA",206,199,96.6,199,18,9.0,45,22.6,110,55.3,26,13.1,136,68.3,524
"Watertown School District","=""1530011""","Math",206,199,96.6,198,29,14.6,99,50.0,61,30.8,9,4.5,70,35.4,495
"West Hartford School District","=""1550011""","ELA",736,723,98.2,723,58,8.0,77,10.7,346,47.9,242,33.5,588,81.3,573
"West Hartford School District","=""1550011""","Math",736,723,98.2,722,82,11.4,201,27.8,270,37.4,169,23.4,439,60.8,557
"West Haven School District","=""1560011""","ELA",346,325,93.9,325,92,28.3,79,24.3,138,42.5,16,4.9,154,47.4,477
"West Haven School District","=""1560011""","Math",346,325,93.9,322,112,34.8,159,49.4,"*","*","*","*",51,15.8,448
"Westbrook School District","=""1540011""","ELA",88,88,100.0,88,8,9.1,11,12.5,57,64.8,12,13.6,69,78.4,544
"Westbrook School District","=""1540011""","Math",88,88,100.0,88,9,10.2,39,44.3,34,38.6,6,6.8,40,45.5,514
"Weston School District","=""1570011""","ELA",204,200,98.0,200,"*","*","*","*",72,36.0,113,56.5,185,92.5,626
"Weston School District","=""1570011""","Math",204,200,98.0,200,"*","*","*","*",85,42.5,79,39.5,164,82.0,613
"Westport School District","=""1580011""","ELA",464,459,98.9,459,19,4.1,16,3.5,189,41.2,235,51.2,424,92.4,616
"Westport School District","=""1580011""","Math",464,459,98.9,457,18,3.9,81,17.7,166,36.3,192,42.0,358,78.3,609
"Wethersfield School District","=""1590011""","ELA",309,304,98.4,304,26,8.6,58,19.1,158,52.0,62,20.4,220,72.4,540
"Wethersfield School District","=""1590011""","Math",309,304,98.4,304,49,16.1,122,40.1,95,31.3,38,12.5,133,43.8,520
"Wilton School District","=""1610011""","ELA",331,323,97.6,323,6,1.9,9,2.8,140,43.3,168,52.0,308,95.4,620
"Wilton School District","=""1610011""","Math",331,323,97.6,322,10,3.1,63,19.6,127,39.4,122,37.9,249,77.3,607
"Winchester School District","=""1620011""","ELA",7,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Winchester School District","=""1620011""","Math",7,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Windham School District","=""1630011""","ELA",127,123,96.9,123,50,40.7,26,21.1,40,32.5,7,5.7,47,38.2,453
"Windham School District","=""1630011""","Math",127,123,96.9,123,49,39.8,60,48.8,"*","*","*","*",14,11.4,433
"Windsor Locks School District","=""1650011""","ELA",108,106,98.1,106,18,17.0,28,26.4,54,50.9,6,5.7,60,56.6,491
"Windsor Locks School District","=""1650011""","Math",108,106,98.1,105,"*","*",53,50.5,27,25.7,"*","*","*","*",484
"Windsor School District","=""1640011""","ELA",302,288,95.4,288,38,13.2,71,24.7,144,50.0,35,12.2,179,62.2,511
"Windsor School District","=""1640011""","Math",302,288,95.4,287,52,18.1,134,46.7,84,29.3,17,5.9,101,35.2,493
"Wolcott School District","=""1660011""","ELA",181,179,98.9,179,12,6.7,29,16.2,107,59.8,31,17.3,138,77.1,545
"Wolcott School District","=""1660011""","Math",181,179,98.9,179,20,11.2,72,40.2,73,40.8,14,7.8,87,48.6,521
"Woodstock Academy District","=""9030022""","ELA",246,243,98.8,243,23,9.5,23,9.5,136,56.0,61,25.1,197,81.1,555
"Woodstock Academy District","=""9030022""","Math",246,243,98.8,243,30,12.3,81,33.3,92,37.9,40,16.5,132,54.3,535

