"CT School Day SAT, 2016-17"
"All Districts, All Subjects, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"Madison School District","=""0760011""","Math","N",248,247,99.6,247,"*","*",47,19.0,133,53.8,"*","*","*","*",594
"Manchester School District","=""0770011""","ELA","Y",185,161,87.0,161,70,43.5,"*","*",56,34.8,"*","*","*","*",446
"Manchester School District","=""0770011""","ELA","N",189,177,93.7,177,"*","*",32,18.1,88,49.7,"*","*","*","*",510
"Manchester School District","=""0770011""","Math","Y",185,161,87.0,157,60,38.2,80,51.0,"*","*","*","*",17,10.8,436
"Manchester School District","=""0770011""","Math","N",189,177,93.7,175,"*","*",86,49.1,49,28.0,"*","*","*","*",486
"Meriden School District","=""0800011""","ELA","Y",361,344,95.3,344,167,48.5,89,25.9,"*","*","*","*",88,25.6,431
"Meriden School District","=""0800011""","ELA","N",166,162,97.6,162,"*","*",36,22.2,84,51.9,"*","*","*","*",525
"Meriden School District","=""0800011""","Math","Y",361,344,95.3,339,182,53.7,133,39.2,"*","*","*","*",24,7.1,414
"Meriden School District","=""0800011""","Math","N",166,162,97.6,161,"*","*",69,42.9,46,28.6,"*","*","*","*",487
"Middletown School District","=""0830011""","ELA","Y",149,147,98.7,147,63,42.9,"*","*",45,30.6,"*","*","*","*",445
"Middletown School District","=""0830011""","ELA","N",168,168,100.0,168,"*","*",28,16.7,79,47.0,"*","*","*","*",551
"Middletown School District","=""0830011""","Math","Y",149,147,98.7,147,69,46.9,58,39.5,"*","*","*","*",20,13.6,430
"Middletown School District","=""0830011""","Math","N",168,168,100.0,168,"*","*",63,37.5,62,36.9,"*","*","*","*",527
"Milford School District","=""0840011""","ELA","Y",101,87,86.1,87,30,34.5,20,23.0,29,33.3,8,9.2,37,42.5,473
"Milford School District","=""0840011""","ELA","N",326,322,98.8,322,12,3.7,31,9.6,202,62.7,77,23.9,279,86.6,566
"Milford School District","=""0840011""","Math","Y",101,87,86.1,85,29,34.1,39,45.9,"*","*","*","*",17,20.0,451
"Milford School District","=""0840011""","Math","N",326,322,98.8,322,"*","*",115,35.7,138,42.9,"*","*","*","*",540
"Monroe School District","=""0850011""","ELA","Y",48,40,83.3,40,"*","*",7,17.5,19,47.5,"*","*","*","*",508
"Monroe School District","=""0850011""","ELA","N",254,252,99.2,252,"*","*",24,9.5,141,56.0,"*","*","*","*",581
"Monroe School District","=""0850011""","Math","Y",48,40,83.3,40,"*","*",18,45.0,12,30.0,"*","*","*","*",495
"Monroe School District","=""0850011""","Math","N",254,252,99.2,252,"*","*",76,30.2,97,38.5,"*","*","*","*",575
"Montville School District","=""0860011""","ELA","Y",63,61,96.8,61,"*","*",11,18.0,31,50.8,"*","*","*","*",490
"Montville School District","=""0860011""","ELA","N",121,118,97.5,118,"*","*",12,10.2,77,65.3,"*","*","*","*",564
"Montville School District","=""0860011""","Math","Y",63,61,96.8,61,18,29.5,27,44.3,"*","*","*","*",16,26.2,470
"Montville School District","=""0860011""","Math","N",121,118,97.5,118,"*","*",47,39.8,51,43.2,"*","*","*","*",536
"Naugatuck School District","=""0880011""","ELA","Y",154,139,90.3,139,60,43.2,39,28.1,32,23.0,8,5.8,40,28.8,449
"Naugatuck School District","=""0880011""","ELA","N",146,137,93.8,137,15,10.9,36,26.3,71,51.8,15,10.9,86,62.8,509
"Naugatuck School District","=""0880011""","Math","Y",154,139,90.3,138,61,44.2,57,41.3,"*","*","*","*",20,14.5,432
"Naugatuck School District","=""0880011""","Math","N",146,137,93.8,137,"*","*",68,49.6,37,27.0,"*","*","*","*",478
"New Britain School District","=""0890011""","ELA","Y",434,384,88.5,384,206,53.6,93,24.2,"*","*","*","*",85,22.1,421
"New Britain School District","=""0890011""","ELA","N",95,89,93.7,89,"*","*",22,24.7,39,43.8,"*","*","*","*",496
"New Britain School District","=""0890011""","Math","Y",434,384,88.5,383,214,55.9,149,38.9,20,5.2,0,0.0,20,5.2,407
"New Britain School District","=""0890011""","Math","N",95,89,93.7,89,24,27.0,41,46.1,"*","*","*","*",24,27.0,475
"New Canaan School District","=""0900011""","ELA","Y",48,43,89.6,43,"*","*","*","*",23,53.5,7,16.3,30,69.8,529
"New Canaan School District","=""0900011""","ELA","N",262,258,98.5,258,"*","*","*","*",116,45.0,138,53.5,254,98.4,629
"New Canaan School District","=""0900011""","Math","Y",48,43,89.6,42,"*","*",16,38.1,10,23.8,"*","*","*","*",514
"New Canaan School District","=""0900011""","Math","N",262,258,98.5,258,"*","*","*","*",116,45.0,112,43.4,228,88.4,628
"New Fairfield School District","=""0910011""","ELA","Y",27,26,96.3,26,"*","*",7,26.9,11,42.3,"*","*","*","*",472
"New Fairfield School District","=""0910011""","ELA","N",180,177,98.3,177,"*","*",19,10.7,109,61.6,"*","*","*","*",564
"New Fairfield School District","=""0910011""","Math","Y",27,26,96.3,26,"*","*",12,46.2,"*","*",0,0.0,"*","*",438
"New Fairfield School District","=""0910011""","Math","N",180,177,98.3,177,22,12.4,73,41.2,"*","*","*","*","*","*",524
"New Haven School District","=""0930011""","ELA","Y",951,835,87.8,835,370,44.3,228,27.3,207,24.8,30,3.6,237,28.4,439
"New Haven School District","=""0930011""","ELA","N",368,343,93.2,343,71,20.7,71,20.7,154,44.9,47,13.7,201,58.6,504
"New Haven School District","=""0930011""","Math","Y",951,835,87.8,832,435,52.3,317,38.1,69,8.3,11,1.3,80,9.6,417
"New Haven School District","=""0930011""","Math","N",368,343,93.2,343,96,28.0,155,45.2,71,20.7,21,6.1,92,26.8,473
"New London School District","=""0950011""","ELA","Y",218,200,91.7,200,"*","*","*","*","*","*","*","*","*","*",463
"New London School District","=""0950011""","ELA","N",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"New London School District","=""0950011""","Math","Y",218,200,91.7,199,"*","*","*","*","*","*","*","*","*","*",443
"New London School District","=""0950011""","Math","N",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"New Milford School District","=""0960011""","ELA","Y",81,72,88.9,72,"*","*",17,23.6,40,55.6,"*","*","*","*",494
"New Milford School District","=""0960011""","ELA","N",255,249,97.6,249,"*","*",22,8.8,155,62.2,"*","*","*","*",570
"New Milford School District","=""0960011""","Math","Y",81,72,88.9,72,17,23.6,39,54.2,"*","*","*","*",16,22.2,475
"New Milford School District","=""0960011""","Math","N",255,249,97.6,249,"*","*",79,31.7,110,44.2,"*","*","*","*",549
"Newington School District","=""0940011""","ELA","Y",97,93,95.9,93,36,38.7,"*","*",32,34.4,"*","*","*","*",454
"Newington School District","=""0940011""","ELA","N",195,194,99.5,194,"*","*",27,13.9,117,60.3,"*","*","*","*",549
"Newington School District","=""0940011""","Math","Y",97,93,95.9,93,32,34.4,46,49.5,"*","*","*","*",15,16.1,443
"Newington School District","=""0940011""","Math","N",195,194,99.5,194,"*","*",78,40.2,78,40.2,"*","*","*","*",539
"Newtown School District","=""0970011""","ELA","Y",49,43,87.8,43,14,32.6,"*","*",16,37.2,"*","*","*","*",490
"Newtown School District","=""0970011""","ELA","N",371,367,98.9,367,"*","*",22,6.0,212,57.8,"*","*","*","*",590
"Newtown School District","=""0970011""","Math","Y",49,43,87.8,43,13,30.2,16,37.2,14,32.6,0,0.0,14,32.6,474
"Newtown School District","=""0970011""","Math","N",371,367,98.9,367,8,2.2,73,19.9,183,49.9,103,28.1,286,77.9,590
"North Branford School District","=""0990011""","ELA","Y",49,48,98.0,48,"*","*","*","*",28,58.3,7,14.6,35,72.9,507
"North Branford School District","=""0990011""","ELA","N",97,97,100.0,97,"*","*","*","*",67,69.1,16,16.5,83,85.6,552
"North Branford School District","=""0990011""","Math","Y",49,48,98.0,48,10,20.8,27,56.3,"*","*","*","*",11,22.9,482
"North Branford School District","=""0990011""","Math","N",97,97,100.0,97,"*","*",44,45.4,35,36.1,"*","*","*","*",529
"North Haven School District","=""1010011""","ELA","Y",51,47,92.2,47,15,31.9,"*","*",21,44.7,"*","*","*","*",493
"North Haven School District","=""1010011""","ELA","N",196,193,98.5,193,"*","*",28,14.5,115,59.6,"*","*","*","*",553
"North Haven School District","=""1010011""","Math","Y",51,47,92.2,47,"*","*",23,48.9,11,23.4,"*","*","*","*",482
"North Haven School District","=""1010011""","Math","N",196,193,98.5,193,"*","*",77,39.9,79,40.9,"*","*","*","*",531
"North Stonington School District","=""1020011""","ELA","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"North Stonington School District","=""1020011""","ELA","N",36,36,100.0,36,"*","*","*","*","*","*","*","*","*","*",564
"North Stonington School District","=""1020011""","Math","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"North Stonington School District","=""1020011""","Math","N",36,36,100.0,36,"*","*","*","*","*","*","*","*","*","*",552
"Norwalk School District","=""1030011""","ELA","Y",454,419,92.3,419,149,35.6,114,27.2,142,33.9,14,3.3,156,37.2,459
"Norwalk School District","=""1030011""","ELA","N",407,399,98.0,399,37,9.3,55,13.8,218,54.6,89,22.3,307,76.9,547
"Norwalk School District","=""1030011""","Math","Y",454,419,92.3,419,154,36.8,198,47.3,56,13.4,11,2.6,67,16.0,442
"Norwalk School District","=""1030011""","Math","N",407,399,98.0,399,42,10.5,164,41.1,135,33.8,58,14.5,193,48.4,530
"Norwich Free Academy District","=""9010022""","ELA","Y",273,250,91.6,249,103,41.4,65,26.1,75,30.1,6,2.4,81,32.5,445
"Norwich Free Academy District","=""9010022""","ELA","N",288,284,98.6,284,14,4.9,39,13.7,161,56.7,70,24.6,231,81.3,561
"Norwich Free Academy District","=""9010022""","Math","Y",273,250,91.6,249,107,43.0,106,42.6,"*","*","*","*",36,14.5,435
"Norwich Free Academy District","=""9010022""","Math","N",288,284,98.6,284,"*","*",100,35.2,106,37.3,"*","*","*","*",539
"Norwich School District","=""1040011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich School District","=""1040011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich School District","=""1040011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich School District","=""1040011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","ELA","Y",23,23,100.0,23,"*","*","*","*",11,47.8,0,0.0,11,47.8,460
"Old Saybrook School District","=""1060011""","ELA","N",88,86,97.7,86,"*","*","*","*",46,53.5,31,36.0,77,89.5,585
"Old Saybrook School District","=""1060011""","Math","Y",23,23,100.0,23,"*","*",7,30.4,"*","*",0,0.0,"*","*",441
"Old Saybrook School District","=""1060011""","Math","N",88,86,97.7,86,"*","*",26,30.2,"*","*",18,20.9,"*","*",572
"Oxford School District","=""1080011""","ELA","Y",29,27,93.1,27,"*","*","*","*",9,33.3,6,22.2,15,55.6,506
"Oxford School District","=""1080011""","ELA","N",108,108,100.0,108,"*","*","*","*",71,65.7,31,28.7,102,94.4,584
"Oxford School District","=""1080011""","Math","Y",29,27,93.1,27,"*","*",8,29.6,9,33.3,"*","*","*","*",484
"Oxford School District","=""1080011""","Math","N",108,108,100.0,108,"*","*",37,34.3,54,50.0,"*","*","*","*",550
"Path Academy District","=""2930013""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Path Academy District","=""2930013""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Path Academy District","=""2930013""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Path Academy District","=""2930013""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","=""1090011""","ELA","Y",67,57,85.1,57,18,31.6,25,43.9,"*","*","*","*",14,24.6,452
"Plainfield School District","=""1090011""","ELA","N",97,94,96.9,94,"*","*",20,21.3,46,48.9,"*","*","*","*",511
"Plainfield School District","=""1090011""","Math","Y",67,57,85.1,57,25,43.9,25,43.9,"*","*","*","*",7,12.3,425
"Plainfield School District","=""1090011""","Math","N",97,94,96.9,92,"*","*",42,45.7,31,33.7,"*","*","*","*",497
"Plainville School District","=""1100011""","ELA","Y",62,61,98.4,61,"*","*",14,23.0,25,41.0,"*","*","*","*",476
"Plainville School District","=""1100011""","ELA","N",95,94,98.9,94,"*","*",6,6.4,63,67.0,"*","*","*","*",557
"Plainville School District","=""1100011""","Math","Y",62,61,98.4,60,21,35.0,25,41.7,"*","*","*","*",14,23.3,457
"Plainville School District","=""1100011""","Math","N",95,94,98.9,94,"*","*",37,39.4,45,47.9,"*","*","*","*",526
"Plymouth School District","=""1110011""","ELA","Y",45,42,93.3,42,20,47.6,11,26.2,"*","*","*","*",11,26.2,435
"Plymouth School District","=""1110011""","ELA","N",80,79,98.8,79,"*","*",10,12.7,52,65.8,"*","*","*","*",539
"Plymouth School District","=""1110011""","Math","Y",45,42,93.3,41,"*","*",17,41.5,"*","*","*","*","*","*",419
"Plymouth School District","=""1110011""","Math","N",80,79,98.8,79,"*","*",30,38.0,"*","*","*","*","*","*",531
"Portland School District","=""1130011""","ELA","Y",20,20,100.0,20,"*","*","*","*",7,35.0,"*","*","*","*",487
"Portland School District","=""1130011""","ELA","N",66,66,100.0,66,"*","*","*","*",42,63.6,"*","*","*","*",558
"Portland School District","=""1130011""","Math","Y",20,20,100.0,20,6,30.0,9,45.0,"*","*","*","*","*","*",461
"Portland School District","=""1130011""","Math","N",66,66,100.0,65,6,9.2,20,30.8,"*","*","*","*","*","*",554
"Putnam School District","=""1160011""","ELA","Y",38,35,92.1,35,"*","*",12,34.3,"*","*",0,0.0,"*","*",443
"Putnam School District","=""1160011""","ELA","N",31,29,93.5,29,"*","*",6,20.7,16,55.2,"*","*","*","*",520
"Putnam School District","=""1160011""","Math","Y",38,35,92.1,35,"*","*",15,42.9,"*","*",0,0.0,"*","*",416
"Putnam School District","=""1160011""","Math","N",31,29,93.5,29,"*","*",19,65.5,"*","*","*","*","*","*",484
"Regional School District 01","=""2010012""","ELA","Y",28,27,96.4,27,12,44.4,"*","*",10,37.0,"*","*","*","*",466
"Regional School District 01","=""2010012""","ELA","N",60,58,96.7,58,8,13.8,"*","*",31,53.4,"*","*","*","*",520
"Regional School District 01","=""2010012""","Math","Y",28,27,96.4,27,12,44.4,9,33.3,6,22.2,0,0.0,6,22.2,436
"Regional School District 01","=""2010012""","Math","N",60,58,96.7,57,"*","*",30,52.6,18,31.6,"*","*","*","*",503
"Regional School District 04","=""2040012""","ELA","Y",28,26,92.9,26,"*","*","*","*",9,34.6,"*","*","*","*",490
"Regional School District 04","=""2040012""","ELA","N",129,128,99.2,128,"*","*","*","*",81,63.3,"*","*","*","*",584
"Regional School District 04","=""2040012""","Math","Y",28,26,92.9,26,7,26.9,13,50.0,"*","*","*","*",6,23.1,463
"Regional School District 04","=""2040012""","Math","N",129,128,99.2,128,8,6.3,48,37.5,"*","*","*","*",72,56.3,538
"Regional School District 05","=""2050012""","ELA","Y",51,50,98.0,50,"*","*",21,42.0,17,34.0,"*","*","*","*",501
"Regional School District 05","=""2050012""","ELA","N",305,305,100.0,305,"*","*","*","*",159,52.1,124,40.7,283,92.8,602
"Regional School District 05","=""2050012""","Math","Y",51,50,98.0,50,9,18.0,25,50.0,8,16.0,8,16.0,16,32.0,503
"Regional School District 05","=""2050012""","Math","N",305,305,100.0,305,7,2.3,75,24.6,135,44.3,88,28.9,223,73.1,591
"Regional School District 06","=""2060012""","ELA","Y",30,28,93.3,28,11,39.3,"*","*",10,35.7,"*","*","*","*",466
"Regional School District 06","=""2060012""","ELA","N",76,76,100.0,76,7,9.2,"*","*",46,60.5,"*","*","*","*",534
"Regional School District 06","=""2060012""","Math","Y",30,28,93.3,27,8,29.6,15,55.6,"*","*","*","*","*","*",454
"Regional School District 06","=""2060012""","Math","N",76,76,100.0,73,8,11.0,34,46.6,"*","*","*","*","*","*",510
"Regional School District 07","=""2070012""","ELA","Y",24,24,100.0,24,"*","*",7,29.2,6,25.0,"*","*","*","*",471
"Regional School District 07","=""2070012""","ELA","N",149,149,100.0,149,"*","*",14,9.4,85,57.0,"*","*","*","*",584
"Regional School District 07","=""2070012""","Math","Y",24,24,100.0,24,11,45.8,8,33.3,"*","*","*","*","*","*",435
"Regional School District 07","=""2070012""","Math","N",149,149,100.0,149,6,4.0,38,25.5,"*","*","*","*","*","*",569
"Regional School District 08","=""2080012""","ELA","Y",33,32,97.0,32,"*","*",9,28.1,10,31.3,"*","*","*","*",510
"Regional School District 08","=""2080012""","ELA","N",238,236,99.2,236,"*","*","*","*",128,54.2,95,40.3,223,94.5,597
"Regional School District 08","=""2080012""","Math","Y",33,32,97.0,32,"*","*",13,40.6,7,21.9,"*","*","*","*",500
"Regional School District 08","=""2080012""","Math","N",238,236,99.2,236,"*","*",46,19.5,116,49.2,"*","*","*","*",598
"Regional School District 09","=""2090012""","ELA","Y",32,29,90.6,29,"*","*",7,24.1,15,51.7,"*","*","*","*",511
"Regional School District 09","=""2090012""","ELA","N",206,195,94.7,195,"*","*",9,4.6,97,49.7,"*","*","*","*",605
"Regional School District 09","=""2090012""","Math","Y",32,29,90.6,29,"*","*",17,58.6,6,20.7,"*","*","*","*",497
"Regional School District 09","=""2090012""","Math","N",206,195,94.7,195,"*","*",42,21.5,94,48.2,"*","*","*","*",590
"Regional School District 10","=""2100012""","ELA","Y",28,26,92.9,26,"*","*",8,30.8,8,30.8,"*","*","*","*",460
"Regional School District 10","=""2100012""","ELA","N",170,170,100.0,170,"*","*",8,4.7,89,52.4,"*","*","*","*",600
"Regional School District 10","=""2100012""","Math","Y",28,26,92.9,26,9,34.6,15,57.7,"*","*","*","*","*","*",448
"Regional School District 10","=""2100012""","Math","N",170,170,100.0,170,7,4.1,42,24.7,"*","*","*","*","*","*",575
"Regional School District 11","=""2110012""","ELA","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 11","=""2110012""","ELA","N",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 11","=""2110012""","Math","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 11","=""2110012""","Math","N",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 12","=""2120012""","ELA","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 12","=""2120012""","ELA","N",42,42,100.0,42,"*","*","*","*","*","*","*","*","*","*",590
"Regional School District 12","=""2120012""","Math","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 12","=""2120012""","Math","N",42,42,100.0,42,"*","*","*","*","*","*","*","*","*","*",547
"Regional School District 13","=""2130012""","ELA","Y",16,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 13","=""2130012""","ELA","N",112,112,100.0,112,"*","*","*","*","*","*","*","*","*","*",582
"Regional School District 13","=""2130012""","Math","Y",16,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 13","=""2130012""","Math","N",112,112,100.0,112,"*","*","*","*","*","*","*","*","*","*",562
"Regional School District 14","=""2140012""","ELA","Y",50,48,96.0,48,14,29.2,"*","*",21,43.8,"*","*","*","*",482
"Regional School District 14","=""2140012""","ELA","N",144,144,100.0,144,"*","*",19,13.2,81,56.3,"*","*","*","*",555
"Regional School District 14","=""2140012""","Math","Y",50,48,96.0,48,14,29.2,20,41.7,"*","*","*","*",14,29.2,468
"Regional School District 14","=""2140012""","Math","N",144,144,100.0,144,"*","*",49,34.0,61,42.4,"*","*","*","*",549
"Regional School District 15","=""2150012""","ELA","Y",63,59,93.7,59,"*","*",11,18.6,32,54.2,"*","*","*","*",511
"Regional School District 15","=""2150012""","ELA","N",227,226,99.6,226,"*","*","*","*",133,58.8,75,33.2,208,92.0,593
"Regional School District 15","=""2150012""","Math","Y",63,59,93.7,58,"*","*",28,48.3,14,24.1,"*","*","*","*",480
"Regional School District 15","=""2150012""","Math","N",227,226,99.6,226,"*","*",44,19.5,119,52.7,"*","*","*","*",589
"Regional School District 16","=""2160012""","ELA","Y",34,33,97.1,33,12,36.4,"*","*",10,30.3,"*","*","*","*",472
"Regional School District 16","=""2160012""","ELA","N",138,135,97.8,135,"*","*",11,8.1,88,65.2,"*","*","*","*",556
"Regional School District 16","=""2160012""","Math","Y",34,33,97.1,33,17,51.5,10,30.3,"*","*","*","*",6,18.2,423
"Regional School District 16","=""2160012""","Math","N",138,135,97.8,135,11,8.1,60,44.4,"*","*","*","*",64,47.4,525
"Regional School District 17","=""2170012""","ELA","Y",45,43,95.6,43,"*","*",9,20.9,17,39.5,"*","*","*","*",509
"Regional School District 17","=""2170012""","ELA","N",122,121,99.2,121,"*","*","*","*",74,61.2,34,28.1,108,89.3,579
"Regional School District 17","=""2170012""","Math","Y",45,43,95.6,43,"*","*",18,41.9,12,27.9,"*","*","*","*",483
"Regional School District 17","=""2170012""","Math","N",122,121,99.2,121,"*","*",45,37.2,51,42.1,"*","*","*","*",562
"Regional School District 18","=""2180012""","ELA","Y",16,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 18","=""2180012""","ELA","N",102,100,98.0,100,0,0.0,"*","*","*","*","*","*","*","*",609
"Regional School District 18","=""2180012""","Math","Y",16,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 18","=""2180012""","Math","N",102,100,98.0,100,"*","*","*","*","*","*","*","*","*","*",582
"Regional School District 19","=""2190012""","ELA","Y",80,77,96.3,77,19,24.7,11,14.3,38,49.4,9,11.7,47,61.0,499
"Regional School District 19","=""2190012""","ELA","N",226,221,97.8,221,13,5.9,19,8.6,114,51.6,75,33.9,189,85.5,584
"Regional School District 19","=""2190012""","Math","Y",80,77,96.3,77,14,18.2,34,44.2,22,28.6,7,9.1,29,37.7,501
"Regional School District 19","=""2190012""","Math","N",226,221,97.8,221,11,5.0,55,24.9,89,40.3,66,29.9,155,70.1,582
"Ridgefield School District","=""1180011""","ELA","Y",41,34,82.9,34,"*","*",8,23.5,21,61.8,"*","*","*","*",512
"Ridgefield School District","=""1180011""","ELA","N",379,366,96.6,366,"*","*",14,3.8,154,42.1,"*","*","*","*",623
"Ridgefield School District","=""1180011""","Math","Y",41,34,82.9,33,"*","*",16,48.5,10,30.3,"*","*","*","*",500
"Ridgefield School District","=""1180011""","Math","N",379,366,96.6,366,"*","*",59,16.1,163,44.5,"*","*","*","*",609
"Rocky Hill School District","=""1190011""","ELA","Y",43,40,93.0,40,"*","*",11,27.5,11,27.5,"*","*","*","*",471
"Rocky Hill School District","=""1190011""","ELA","N",138,137,99.3,137,"*","*",7,5.1,89,65.0,"*","*","*","*",585
"Rocky Hill School District","=""1190011""","Math","Y",43,40,93.0,40,"*","*",13,32.5,8,20.0,"*","*","*","*",448
"Rocky Hill School District","=""1190011""","Math","N",138,137,99.3,137,"*","*",37,27.0,68,49.6,"*","*","*","*",568
"Seymour School District","=""1240011""","ELA","Y",41,39,95.1,39,"*","*",9,23.1,16,41.0,"*","*","*","*",477
"Seymour School District","=""1240011""","ELA","N",110,110,100.0,110,"*","*",13,11.8,67,60.9,"*","*","*","*",561
"Seymour School District","=""1240011""","Math","Y",41,39,95.1,39,"*","*",12,30.8,16,41.0,"*","*","*","*",476
"Seymour School District","=""1240011""","Math","N",110,110,100.0,110,"*","*",42,38.2,51,46.4,"*","*","*","*",539
"Shelton School District","=""1260011""","ELA","Y",77,75,97.4,75,12,16.0,18,24.0,39,52.0,6,8.0,45,60.0,498
"Shelton School District","=""1260011""","ELA","N",253,247,97.6,247,8,3.2,35,14.2,157,63.6,47,19.0,204,82.6,556
"Shelton School District","=""1260011""","Math","Y",77,75,97.4,74,24,32.4,27,36.5,"*","*","*","*",23,31.1,475
"Shelton School District","=""1260011""","Math","N",253,247,97.6,247,"*","*",94,38.1,101,40.9,"*","*","*","*",553
"Simsbury School District","=""1280011""","ELA","Y",63,59,93.7,59,"*","*","*","*",31,52.5,11,18.6,42,71.2,539
"Simsbury School District","=""1280011""","ELA","N",270,270,100.0,270,"*","*","*","*",116,43.0,148,54.8,264,97.8,631
"Simsbury School District","=""1280011""","Math","Y",63,59,93.7,59,"*","*",21,35.6,23,39.0,"*","*","*","*",510
"Simsbury School District","=""1280011""","Math","N",270,270,100.0,270,"*","*",43,15.9,118,43.7,"*","*","*","*",616
"Somers School District","=""1290011""","ELA","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Somers School District","=""1290011""","ELA","N",101,101,100.0,101,"*","*","*","*","*","*","*","*","*","*",569
"Somers School District","=""1290011""","Math","Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Somers School District","=""1290011""","Math","N",101,101,100.0,100,"*","*","*","*","*","*","*","*","*","*",555
"South Windsor School District","=""1320011""","ELA","Y",78,74,94.9,74,"*","*",17,23.0,33,44.6,"*","*","*","*",476
"South Windsor School District","=""1320011""","ELA","N",257,254,98.8,254,"*","*",21,8.3,137,53.9,"*","*","*","*",593
"South Windsor School District","=""1320011""","Math","Y",78,74,94.9,74,"*","*",34,45.9,17,23.0,"*","*","*","*",463
"South Windsor School District","=""1320011""","Math","N",257,254,98.8,254,"*","*",77,30.3,103,40.6,"*","*","*","*",584
"Southington School District","=""1310011""","ELA","Y",111,101,91.0,101,35,34.7,21,20.8,36,35.6,9,8.9,45,44.6,472
"Southington School District","=""1310011""","ELA","N",429,426,99.3,426,18,4.2,36,8.5,263,61.7,109,25.6,372,87.3,570
"Southington School District","=""1310011""","Math","Y",111,101,91.0,100,33,33.0,43,43.0,"*","*","*","*",24,24.0,456
"Southington School District","=""1310011""","Math","N",429,426,99.3,426,"*","*",116,27.2,214,50.2,"*","*","*","*",564
"Stafford School District","=""1340011""","ELA","Y",27,24,88.9,24,8,33.3,10,41.7,"*","*","*","*",6,25.0,448
"Stafford School District","=""1340011""","ELA","N",60,60,100.0,60,0,0.0,6,10.0,"*","*","*","*",54,90.0,580
"Stafford School District","=""1340011""","Math","Y",27,24,88.9,23,"*","*",12,52.2,"*","*",0,0.0,"*","*",450
"Stafford School District","=""1340011""","Math","N",60,60,100.0,60,"*","*",14,23.3,"*","*","*","*","*","*",552
"Stamford Academy District","=""2820013""","ELA","Y",35,25,71.4,25,"*","*","*","*",0,0.0,0,0.0,0,0.0,366
"Stamford Academy District","=""2820013""","Math","Y",35,25,71.4,23,"*","*","*","*",0,0.0,0,0.0,0,0.0,360
"Stamford School District","=""1350011""","ELA","Y",594,535,90.1,535,215,40.2,140,26.2,163,30.5,17,3.2,180,33.6,447
"Stamford School District","=""1350011""","ELA","N",522,497,95.2,497,31,6.2,72,14.5,249,50.1,145,29.2,394,79.3,563
"Stamford School District","=""1350011""","Math","Y",594,535,90.1,531,230,43.3,233,43.9,60,11.3,8,1.5,68,12.8,431
"Stamford School District","=""1350011""","Math","N",522,497,95.2,496,50,10.1,174,35.1,156,31.5,116,23.4,272,54.8,548
"Stonington School District","=""1370011""","ELA","Y",41,34,82.9,34,"*","*",8,23.5,13,38.2,"*","*","*","*",506
"Stonington School District","=""1370011""","ELA","N",139,138,99.3,138,"*","*","*","*",78,56.5,44,31.9,122,88.4,579
"Stonington School District","=""1370011""","Math","Y",41,34,82.9,34,"*","*",14,41.2,10,29.4,"*","*","*","*",482
"Stonington School District","=""1370011""","Math","N",139,138,99.3,138,"*","*",43,31.2,58,42.0,"*","*","*","*",559
"Stratford School District","=""1380011""","ELA","Y",244,236,96.7,236,74,31.4,77,32.6,76,32.2,9,3.8,85,36.0,458
"Stratford School District","=""1380011""","ELA","N",281,280,99.6,280,27,9.6,56,20.0,164,58.6,33,11.8,197,70.4,524
