"CT School Day SAT, 2015-16"
"All Districts, All Subjects, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Subject","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Connecticut School Day SATParticipationRate","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Clinton School District","=""0270011""","Math","Y",28,26,92.9,25,12,48.0,"*","*","*","*",0,0.0,"*","*",420
"Clinton School District","=""0270011""","Math","N",101,99,98.0,99,16,16.2,49,49.5,"*","*","*","*","*","*",489
"Colchester School District","=""0280011""","ELA","Y",54,50,92.6,50,"*","*",16,32.0,20,40.0,"*","*","*","*",480
"Colchester School District","=""0280011""","ELA","N",146,144,98.6,144,"*","*",13,9.0,92,63.9,"*","*","*","*",573
"Colchester School District","=""0280011""","Math","Y",54,50,92.6,49,18,36.7,20,40.8,"*","*","*","*",11,22.4,443
"Colchester School District","=""0280011""","Math","N",146,144,98.6,144,"*","*",66,45.8,58,40.3,"*","*","*","*",535
"Columbia School District","=""0300011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","ELA","Y",22,20,90.9,20,"*","*","*","*","*","*","*","*","*","*",416
"Common Ground High School District","=""2680013""","ELA","N",20,19,95.0,19,"*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Math","Y",22,20,90.9,20,"*","*","*","*","*","*",0,0.0,"*","*",393
"Common Ground High School District","=""2680013""","Math","N",20,19,95.0,19,"*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","ELA","Y",1299,1269,97.7,1269,405,31.9,433,34.1,418,32.9,13,1.0,431,34.0,450
"Connecticut Technical High School System","=""9000016""","ELA","N",1199,1176,98.1,1176,190,16.2,334,28.4,577,49.1,75,6.4,652,55.4,491
"Connecticut Technical High School System","=""9000016""","Math","Y",1299,1269,97.7,1268,527,41.6,623,49.1,"*","*","*","*",118,9.3,431
"Connecticut Technical High School System","=""9000016""","Math","N",1199,1176,98.1,1176,313,26.6,632,53.7,"*","*","*","*",231,19.6,463
"Cooperative Educational Services","=""2430014""","ELA","Y",13,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Math","Y",13,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","ELA","Y",31,29,93.5,29,"*","*",10,34.5,10,34.5,"*","*","*","*",478
"Coventry School District","=""0320011""","ELA","N",100,99,99.0,99,"*","*",12,12.1,64,64.6,"*","*","*","*",555
"Coventry School District","=""0320011""","Math","Y",31,29,93.5,29,15,51.7,"*","*","*","*",0,0.0,"*","*",433
"Coventry School District","=""0320011""","Math","N",100,99,99.0,99,6,6.1,41,41.4,"*","*","*","*","*","*",537
"Cromwell School District","=""0330011""","ELA","Y",54,51,94.4,51,"*","*",10,19.6,21,41.2,"*","*","*","*",464
"Cromwell School District","=""0330011""","ELA","N",96,95,99.0,95,"*","*",8,8.4,61,64.2,"*","*","*","*",563
"Cromwell School District","=""0330011""","Math","Y",54,51,94.4,51,"*","*",17,33.3,"*","*",0,0.0,"*","*",453
"Cromwell School District","=""0330011""","Math","N",96,95,99.0,95,"*","*",38,40.0,40,42.1,"*","*","*","*",539
"Danbury School District","=""0340011""","ELA","Y",334,314,94.0,314,152,48.4,72,22.9,81,25.8,9,2.9,90,28.7,434
"Danbury School District","=""0340011""","ELA","N",339,328,96.8,328,27,8.2,62,18.9,177,54.0,62,18.9,239,72.9,535
"Danbury School District","=""0340011""","Math","Y",334,314,94.0,313,165,52.7,115,36.7,"*","*","*","*",33,10.5,420
"Danbury School District","=""0340011""","Math","N",339,328,96.8,328,"*","*",143,43.6,97,29.6,"*","*","*","*",502
"Darien School District","=""0350011""","ELA","Y",49,44,89.8,44,"*","*","*","*",29,65.9,"*","*","*","*",526
"Darien School District","=""0350011""","ELA","N",282,268,95.0,268,"*","*","*","*",101,37.7,"*","*","*","*",634
"Darien School District","=""0350011""","Math","Y",49,44,89.8,44,"*","*",21,47.7,12,27.3,"*","*","*","*",514
"Darien School District","=""0350011""","Math","N",282,268,95.0,268,"*","*",22,8.2,106,39.6,"*","*","*","*",644
"Derby School District","=""0370011""","ELA","Y",65,61,93.8,61,"*","*",21,34.4,14,23.0,"*","*","*","*",433
"Derby School District","=""0370011""","ELA","N",25,25,100.0,25,"*","*",8,32.0,11,44.0,"*","*","*","*",476
"Derby School District","=""0370011""","Math","Y",65,61,93.8,61,33,54.1,"*","*","*","*",0,0.0,"*","*",419
"Derby School District","=""0370011""","Math","N",25,25,100.0,25,"*","*",10,40.0,"*","*",0,0.0,"*","*",459
"East Granby School District","=""0400011""","ELA","Y",17,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","ELA","N",46,46,100.0,46,"*","*","*","*","*","*","*","*","*","*",588
"East Granby School District","=""0400011""","Math","Y",17,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","Math","N",46,46,100.0,46,"*","*","*","*","*","*","*","*","*","*",549
"East Haddam School District","=""0410011""","ELA","Y",15,14,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","ELA","N",67,65,97.0,65,"*","*","*","*","*","*","*","*","*","*",540
"East Haddam School District","=""0410011""","Math","Y",15,14,"*",13,"*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","Math","N",67,65,97.0,65,"*","*","*","*","*","*","*","*","*","*",494
"East Hampton School District","=""0420011""","ELA","Y",28,27,96.4,27,"*","*",9,33.3,11,40.7,"*","*","*","*",489
"East Hampton School District","=""0420011""","ELA","N",106,102,96.2,102,"*","*",13,12.7,64,62.7,"*","*","*","*",565
"East Hampton School District","=""0420011""","Math","Y",28,27,96.4,27,10,37.0,9,33.3,"*","*","*","*",8,29.6,456
"East Hampton School District","=""0420011""","Math","N",106,102,96.2,102,"*","*",40,39.2,42,41.2,"*","*","*","*",523
"East Hartford School District","=""0430011""","ELA","Y",336,301,89.6,301,114,37.9,88,29.2,90,29.9,9,3.0,99,32.9,447
"East Hartford School District","=""0430011""","ELA","N",155,148,95.5,148,31,20.9,20,13.5,80,54.1,17,11.5,97,65.5,508
"East Hartford School District","=""0430011""","Math","Y",336,301,89.6,299,120,40.1,137,45.8,"*","*","*","*",42,14.0,439
"East Hartford School District","=""0430011""","Math","N",155,148,95.5,148,"*","*",66,44.6,39,26.4,"*","*","*","*",490
"East Haven School District","=""0440011""","ELA","Y",115,102,88.7,102,43,42.2,"*","*",31,30.4,"*","*","*","*",449
"East Haven School District","=""0440011""","ELA","N",115,113,98.3,113,"*","*",26,23.0,58,51.3,"*","*","*","*",510
"East Haven School District","=""0440011""","Math","Y",115,102,88.7,102,55,53.9,38,37.3,9,8.8,0,0.0,9,8.8,415
"East Haven School District","=""0440011""","Math","N",115,113,98.3,113,27,23.9,56,49.6,23,20.4,7,6.2,30,26.5,482
"East Lyme School District","=""0450011""","ELA","Y",59,57,96.6,57,"*","*",12,21.1,29,50.9,"*","*","*","*",518
"East Lyme School District","=""0450011""","ELA","N",201,199,99.0,199,"*","*","*","*",115,57.8,68,34.2,183,92.0,592
"East Lyme School District","=""0450011""","Math","Y",59,57,96.6,57,18,31.6,24,42.1,9,15.8,6,10.5,15,26.3,471
"East Lyme School District","=""0450011""","Math","N",201,199,99.0,199,7,3.5,55,27.6,89,44.7,48,24.1,137,68.8,576
"East Windsor School District","=""0470011""","ELA","Y",35,32,91.4,31,"*","*",6,19.4,14,45.2,"*","*","*","*",477
"East Windsor School District","=""0470011""","ELA","N",34,34,100.0,34,"*","*",8,23.5,21,61.8,"*","*","*","*",522
"East Windsor School District","=""0470011""","Math","Y",35,32,91.4,31,"*","*",15,48.4,"*","*",0,0.0,"*","*",448
"East Windsor School District","=""0470011""","Math","N",34,34,100.0,34,"*","*",16,47.1,"*","*","*","*","*","*",503
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA","Y",49,39,79.6,39,"*","*","*","*",15,38.5,"*","*","*","*",454
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA","N",36,33,91.7,33,"*","*","*","*",18,54.5,"*","*","*","*",528
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Math","Y",49,39,79.6,39,21,53.8,"*","*","*","*",0,0.0,"*","*",414
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Math","N",36,33,91.7,33,14,42.4,"*","*","*","*",0,0.0,"*","*",448
"Education Connection","=""2420014""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","ELA","Y",30,29,96.7,29,11,37.9,7,24.1,11,37.9,0,0.0,11,37.9,451
"Ellington School District","=""0480011""","ELA","N",174,174,100.0,174,8,4.6,22,12.6,110,63.2,34,19.5,144,82.8,554
"Ellington School District","=""0480011""","Math","Y",30,29,96.7,29,13,44.8,11,37.9,"*","*","*","*","*","*",444
"Ellington School District","=""0480011""","Math","N",174,174,100.0,174,10,5.7,69,39.7,"*","*","*","*","*","*",542
"Elm City College Preparatory School District","=""2890013""","ELA","Y",24,23,95.8,23,"*","*","*","*","*","*","*","*","*","*",475
"Elm City College Preparatory School District","=""2890013""","ELA","N",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Math","Y",24,23,95.8,23,"*","*","*","*","*","*","*","*","*","*",467
"Elm City College Preparatory School District","=""2890013""","Math","N",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
