"CT School Day SAT, 2015-16"
"All Districts, All Subjects, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Subject","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Connecticut School Day SATParticipationRate","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Stafford School District","=""1340011""","ELA","Y",32,30,93.8,30,"*","*","*","*",12,40.0,"*","*","*","*",481
"Stafford School District","=""1340011""","ELA","N",77,71,92.2,71,"*","*","*","*",44,62.0,"*","*","*","*",562
"Stafford School District","=""1340011""","Math","Y",32,30,93.8,30,"*","*",14,46.7,"*","*","*","*","*","*",467
"Stafford School District","=""1340011""","Math","N",77,71,92.2,71,"*","*",26,36.6,"*","*","*","*","*","*",551
"Stamford Academy District","=""2820013""","ELA","Y",54,25,46.3,25,17,68.0,"*","*","*","*",0,0.0,"*","*",384
"Stamford Academy District","=""2820013""","Math","Y",54,25,46.3,25,19,76.0,6,24.0,0,0.0,0,0.0,0,0.0,370
"Stamford School District","=""1350011""","ELA","Y",669,595,88.9,595,219,36.8,160,26.9,199,33.4,17,2.9,216,36.3,451
"Stamford School District","=""1350011""","ELA","N",517,503,97.3,503,35,7.0,78,15.5,277,55.1,113,22.5,390,77.5,550
"Stamford School District","=""1350011""","Math","Y",669,595,88.9,591,266,45.0,247,41.8,67,11.3,11,1.9,78,13.2,435
"Stamford School District","=""1350011""","Math","N",517,503,97.3,503,61,12.1,167,33.2,175,34.8,100,19.9,275,54.7,541
"Stonington School District","=""1370011""","ELA","Y",50,45,90.0,45,"*","*","*","*",19,42.2,"*","*","*","*",464
"Stonington School District","=""1370011""","ELA","N",125,123,98.4,123,"*","*","*","*",81,65.9,"*","*","*","*",568
"Stonington School District","=""1370011""","Math","Y",50,45,90.0,45,15,33.3,22,48.9,8,17.8,0,0.0,8,17.8,447
"Stonington School District","=""1370011""","Math","N",125,123,98.4,123,7,5.7,46,37.4,42,34.1,28,22.8,70,56.9,558
"Stratford School District","=""1380011""","ELA","Y",224,212,94.6,212,68,32.1,52,24.5,83,39.2,9,4.2,92,43.4,466
"Stratford School District","=""1380011""","ELA","N",258,252,97.7,252,21,8.3,39,15.5,155,61.5,37,14.7,192,76.2,533
"Stratford School District","=""1380011""","Math","Y",224,212,94.6,212,90,42.5,89,42.0,"*","*","*","*",33,15.6,440
"Stratford School District","=""1380011""","Math","N",258,252,97.7,252,"*","*",110,43.7,75,29.8,"*","*","*","*",504
"Suffield School District","=""1390011""","ELA","Y",40,35,87.5,35,"*","*",7,20.0,15,42.9,"*","*","*","*",484
"Suffield School District","=""1390011""","ELA","N",147,145,98.6,145,"*","*",12,8.3,90,62.1,"*","*","*","*",573
"Suffield School District","=""1390011""","Math","Y",40,35,87.5,35,12,34.3,14,40.0,9,25.7,0,0.0,9,25.7,460
"Suffield School District","=""1390011""","Math","N",147,145,98.6,145,6,4.1,50,34.5,68,46.9,21,14.5,89,61.4,552
"The Bridge Academy District","=""2690013""","ELA","Y",35,34,97.1,34,"*","*","*","*","*","*",0,0.0,"*","*",431
"The Bridge Academy District","=""2690013""","ELA","N",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"The Bridge Academy District","=""2690013""","Math","Y",35,34,97.1,34,"*","*","*","*","*","*",0,0.0,"*","*",424
"The Bridge Academy District","=""2690013""","Math","N",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"The Gilbert School District","=""9020022""","ELA","Y",34,34,100.0,34,13,38.2,"*","*",13,38.2,"*","*","*","*",481
"The Gilbert School District","=""9020022""","ELA","N",69,68,98.6,68,9,13.2,"*","*",39,57.4,"*","*","*","*",507
"The Gilbert School District","=""9020022""","Math","Y",34,34,100.0,33,16,48.5,11,33.3,"*","*","*","*",6,18.2,434
"The Gilbert School District","=""9020022""","Math","N",69,68,98.6,68,12,17.6,25,36.8,"*","*","*","*",31,45.6,531
"Thomaston School District","=""1400011""","ELA","Y",17,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Thomaston School District","=""1400011""","ELA","N",46,46,100.0,46,"*","*","*","*","*","*","*","*","*","*",522
"Thomaston School District","=""1400011""","Math","Y",17,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Thomaston School District","=""1400011""","Math","N",46,46,100.0,46,"*","*","*","*","*","*","*","*","*","*",497
"Thompson School District","=""1410011""","ELA","Y",18,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Thompson School District","=""1410011""","ELA","N",31,30,96.8,30,"*","*","*","*","*","*","*","*","*","*",528
"Thompson School District","=""1410011""","Math","Y",18,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*"
"Thompson School District","=""1410011""","Math","N",31,30,96.8,30,"*","*","*","*","*","*",0,0.0,"*","*",499
"Tolland School District","=""1420011""","ELA","Y",29,25,86.2,25,8,32.0,7,28.0,10,40.0,0,0.0,10,40.0,455
"Tolland School District","=""1420011""","ELA","N",177,176,99.4,176,0,0.0,13,7.4,106,60.2,57,32.4,163,92.6,586
"Tolland School District","=""1420011""","Math","Y",29,25,86.2,25,"*","*",8,32.0,"*","*","*","*","*","*",445
"Tolland School District","=""1420011""","Math","N",177,176,99.4,176,"*","*",43,24.4,"*","*","*","*","*","*",587
"Torrington School District","=""1430011""","ELA","Y",89,81,91.0,81,34,42.0,23,28.4,"*","*","*","*",24,29.6,441
"Torrington School District","=""1430011""","ELA","N",120,116,96.7,116,"*","*",23,19.8,76,65.5,"*","*","*","*",525
"Torrington School District","=""1430011""","Math","Y",89,81,91.0,81,43,53.1,30,37.0,"*","*","*","*",8,9.9,423
"Torrington School District","=""1430011""","Math","N",120,116,96.7,116,"*","*",61,52.6,35,30.2,"*","*","*","*",496
"Trumbull School District","=""1440011""","ELA","Y",81,80,98.8,80,20,25.0,20,25.0,33,41.3,7,8.8,40,50.0,485
"Trumbull School District","=""1440011""","ELA","N",417,415,99.5,415,7,1.7,40,9.6,255,61.4,113,27.2,368,88.7,571
"Trumbull School District","=""1440011""","Math","Y",81,80,98.8,80,21,26.3,38,47.5,"*","*","*","*",21,26.3,479
"Trumbull School District","=""1440011""","Math","N",417,415,99.5,415,"*","*",128,30.8,166,40.0,"*","*","*","*",573
"Unified School District #1","=""3360015""","ELA","Y",109,0,0.0,0,"*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #1","=""3360015""","Math","Y",109,0,0.0,0,"*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""","ELA","Y",20,8,40.0,8,"*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""","Math","Y",20,8,40.0,8,"*","*","*","*","*","*","*","*","*","*","*"
"Vernon School District","=""1460011""","ELA","Y",84,76,90.5,76,21,27.6,"*","*",33,43.4,"*","*","*","*",481
"Vernon School District","=""1460011""","ELA","N",118,116,98.3,116,"*","*",20,17.2,66,56.9,"*","*","*","*",541
"Vernon School District","=""1460011""","Math","Y",84,76,90.5,76,30,39.5,30,39.5,"*","*","*","*",16,21.1,447
"Vernon School District","=""1460011""","Math","N",118,116,98.3,116,"*","*",48,41.4,49,42.2,"*","*","*","*",523
"Wallingford School District","=""1480011""","ELA","Y",105,97,92.4,97,37,38.1,"*","*",35,36.1,"*","*","*","*",450
"Wallingford School District","=""1480011""","ELA","N",367,363,98.9,363,"*","*",46,12.7,245,67.5,"*","*","*","*",542
"Wallingford School District","=""1480011""","Math","Y",105,97,92.4,97,38,39.2,50,51.5,"*","*","*","*",9,9.3,434
"Wallingford School District","=""1480011""","Math","N",367,363,98.9,363,"*","*",175,48.2,127,35.0,"*","*","*","*",508
"Waterbury School District","=""1510011""","ELA","Y",889,801,90.1,800,365,45.6,209,26.1,201,25.1,25,3.1,226,28.3,434
"Waterbury School District","=""1510011""","ELA","N",268,255,95.1,255,54,21.2,72,28.2,109,42.7,20,7.8,129,50.6,490
"Waterbury School District","=""1510011""","Math","Y",889,801,90.1,794,471,59.3,264,33.2,"*","*","*","*",59,7.4,406
"Waterbury School District","=""1510011""","Math","N",268,255,95.1,255,83,32.5,133,52.2,"*","*","*","*",39,15.3,454
"Waterford School District","=""1520011""","ELA","Y",54,48,88.9,48,"*","*",15,31.3,19,39.6,"*","*","*","*",469
"Waterford School District","=""1520011""","ELA","N",160,155,96.9,155,"*","*",19,12.3,105,67.7,"*","*","*","*",552
"Waterford School District","=""1520011""","Math","Y",54,48,88.9,48,18,37.5,24,50.0,"*","*","*","*",6,12.5,440
"Waterford School District","=""1520011""","Math","N",160,155,96.9,155,14,9.0,62,40.0,"*","*","*","*",79,51.0,535
"Watertown School District","=""1530011""","ELA","Y",65,61,93.8,61,19,31.1,"*","*",28,45.9,"*","*","*","*",479
"Watertown School District","=""1530011""","ELA","N",141,138,97.9,138,"*","*",21,15.2,88,63.8,"*","*","*","*",533
"Watertown School District","=""1530011""","Math","Y",65,61,93.8,61,18,29.5,31,50.8,"*","*","*","*",12,19.7,455
"Watertown School District","=""1530011""","Math","N",141,138,97.9,138,"*","*",72,52.2,34,24.6,"*","*","*","*",499
"West Hartford School District","=""1550011""","ELA","Y",225,215,95.6,215,66,30.7,55,25.6,84,39.1,10,4.7,94,43.7,466
"West Hartford School District","=""1550011""","ELA","N",545,537,98.5,537,15,2.8,40,7.4,266,49.5,216,40.2,482,89.8,596
"West Hartford School District","=""1550011""","Math","Y",225,215,95.6,215,87,40.5,84,39.1,37,17.2,7,3.3,44,20.5,448
"West Hartford School District","=""1550011""","Math","N",545,537,98.5,536,21,3.9,137,25.6,224,41.8,154,28.7,378,70.5,584
"West Haven School District","=""1560011""","ELA","Y",187,173,92.5,173,67,38.7,52,30.1,"*","*","*","*",54,31.2,442
"West Haven School District","=""1560011""","ELA","N",135,131,97.0,131,"*","*",28,21.4,72,55.0,"*","*","*","*",513
"West Haven School District","=""1560011""","Math","Y",187,173,92.5,173,81,46.8,76,43.9,"*","*","*","*",16,9.2,429
"West Haven School District","=""1560011""","Math","N",135,131,97.0,131,"*","*",73,55.7,31,23.7,"*","*","*","*",485
"Westbrook School District","=""1540011""","ELA","Y",18,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Westbrook School District","=""1540011""","ELA","N",58,58,100.0,58,"*","*","*","*","*","*","*","*","*","*",532
"Westbrook School District","=""1540011""","Math","Y",18,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Westbrook School District","=""1540011""","Math","N",58,58,100.0,58,"*","*","*","*","*","*","*","*","*","*",503
"Weston School District","=""1570011""","ELA","Y",18,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Weston School District","=""1570011""","ELA","N",189,183,96.8,182,"*","*","*","*","*","*","*","*","*","*",592
"Weston School District","=""1570011""","Math","Y",18,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Weston School District","=""1570011""","Math","N",189,183,96.8,182,"*","*","*","*","*","*","*","*","*","*",593
"Westport School District","=""1580011""","ELA","Y",61,57,93.4,57,12,21.1,7,12.3,30,52.6,8,14.0,38,66.7,508
"Westport School District","=""1580011""","ELA","N",378,376,99.5,376,11,2.9,10,2.7,170,45.2,185,49.2,355,94.4,611
"Westport School District","=""1580011""","Math","Y",61,57,93.4,57,23,40.4,19,33.3,"*","*","*","*",15,26.3,469
"Westport School District","=""1580011""","Math","N",378,376,99.5,376,"*","*",55,14.6,153,40.7,"*","*","*","*",619
"Wethersfield School District","=""1590011""","ELA","Y",67,63,94.0,63,25,39.7,14,22.2,24,38.1,0,0.0,24,38.1,452
"Wethersfield School District","=""1590011""","ELA","N",192,189,98.4,189,9,4.8,26,13.8,122,64.6,32,16.9,154,81.5,545
"Wethersfield School District","=""1590011""","Math","Y",67,63,94.0,63,23,36.5,25,39.7,"*","*","*","*",15,23.8,453
"Wethersfield School District","=""1590011""","Math","N",192,189,98.4,189,"*","*",67,35.4,82,43.4,"*","*","*","*",540
"Wilton School District","=""1610011""","ELA","Y",43,42,97.7,42,"*","*",7,16.7,24,57.1,"*","*","*","*",536
"Wilton School District","=""1610011""","ELA","N",293,286,97.6,286,"*","*","*","*",139,48.6,136,47.6,275,96.2,614
"Wilton School District","=""1610011""","Math","Y",43,42,97.7,42,"*","*",17,40.5,15,35.7,"*","*","*","*",511
"Wilton School District","=""1610011""","Math","N",293,286,97.6,285,"*","*",49,17.2,120,42.1,"*","*","*","*",608
"Winchester School District","=""1620011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Winchester School District","=""1620011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Windham School District","=""1630011""","ELA","Y",106,88,83.0,88,"*","*","*","*","*","*","*","*","*","*",420
"Windham School District","=""1630011""","ELA","N",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Windham School District","=""1630011""","Math","Y",106,88,83.0,88,"*","*","*","*","*","*",0,0.0,"*","*",401
"Windham School District","=""1630011""","Math","N",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*"
"Windsor Locks School District","=""1650011""","ELA","Y",38,36,94.7,36,"*","*",9,25.0,16,44.4,"*","*","*","*",469
"Windsor Locks School District","=""1650011""","ELA","N",56,53,94.6,53,"*","*",15,28.3,29,54.7,"*","*","*","*",506
"Windsor Locks School District","=""1650011""","Math","Y",38,36,94.7,36,13,36.1,16,44.4,"*","*","*","*",7,19.4,453
"Windsor Locks School District","=""1650011""","Math","N",56,53,94.6,53,"*","*",25,47.2,19,35.8,"*","*","*","*",488
"Windsor School District","=""1640011""","ELA","Y",121,110,90.9,110,"*","*",38,34.5,34,30.9,"*","*","*","*",457
"Windsor School District","=""1640011""","ELA","N",154,152,98.7,152,"*","*",32,21.1,88,57.9,"*","*","*","*",535
"Windsor School District","=""1640011""","Math","Y",121,110,90.9,110,45,40.9,53,48.2,"*","*","*","*",12,10.9,433
"Windsor School District","=""1640011""","Math","N",154,152,98.7,152,"*","*",69,45.4,44,28.9,"*","*","*","*",517
"Wolcott School District","=""1660011""","ELA","Y",56,52,92.9,52,"*","*",9,17.3,28,53.8,"*","*","*","*",478
"Wolcott School District","=""1660011""","ELA","N",138,138,100.0,138,"*","*",20,14.5,87,63.0,"*","*","*","*",556
"Wolcott School District","=""1660011""","Math","Y",56,52,92.9,52,19,36.5,23,44.2,"*","*","*","*",10,19.2,446
"Wolcott School District","=""1660011""","Math","N",138,138,100.0,138,"*","*",50,36.2,53,38.4,"*","*","*","*",541
"Woodstock Academy District","=""9030022""","ELA","Y",17,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Woodstock Academy District","=""9030022""","ELA","N",243,242,99.6,242,"*","*","*","*","*","*","*","*","*","*",547
"Woodstock Academy District","=""9030022""","Math","Y",17,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*"
"Woodstock Academy District","=""9030022""","Math","N",243,242,99.6,242,"*","*","*","*","*","*","*","*","*","*",547
"Woodstock School District","=""1690011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Woodstock School District","=""1690011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"

